Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Hyundaiasta,11,0,1200,0,0,8,39000,1750000
Hyundaitucson,13,0,2000,1,1,6,51000,2650000
Hyundaiasta,11,0,1200,0,0,8,32400,1725000
Hyundaisantro,21,0,1000,0,0,3,85000,525000
Hyundaii20,7,0,1200,0,0,12,5200,2400000
Hyundaisantro,14,0,1100,0,0,6,53000,1125000
Hyundaisantro,10,0,1100,0,0,7,57000,675000
Hyundaiasta,7,0,1200,0,0,11,15500,2375000
Hyundaii10,12,0,1200,0,0,7,67000,1475000
Hyundaisantro,14,0,1100,0,0,6,56700,1135000
Hyundaii10,11,0,1200,0,0,8,39000,1475000
Hyundaiasta,12,0,1200,0,0,7,37000,1650000
Hyundaitucson,14,0,2000,1,1,6,77000,2900000
Hyundaiasta,12,0,1200,0,0,7,27000,1650000
Hyundaisantro,12,0,1100,0,0,7,40000,1225000
Hyundaielite,6,0,1200,0,0,14,9000,2950000
Hyundaii10,8,0,1200,0,0,10,23000,1850000
Hyundaiaccent,12,0,1400,0,0,7,26600,1425000
Hyundaii10,9,0,1200,0,0,16,27000,1695000
Hyundaisantro,18,0,1100,0,0,4,79000,750000
Hyundaiasta,12,0,1200,0,0,7,30000,1700000
Hyundaieon,8,0,800,0,0,11,10000,1450000
Hyundaii20,11,0,1200,0,0,8,42000,1585000
Hyundaii20,11,0,1200,0,0,8,41000,1575000
Hyundaisantro,15,0,1100,0,0,5,80000,975000
Hyundaigetz,12,0,1400,0,0,7,25000,1300000
Hyundaii10,12,0,1100,0,0,6,18000,1275000
Hyundaisantro,14,0,1100,0,0,5,52000,850000
Hyundaii10,7,1,1200,0,0,14,22000,2100000
Hyundaiasta,11,0,1200,0,0,8,46000,1790000
Hyundaisantro,21,0,1100,0,0,3,51000,590000
Hyundaitucson,13,0,2000,1,1,6,56581,3100000
Hyundaigetz,15,0,1400,0,0,5,49723,1100000
Hyundaisantro,13,0,1100,0,0,6,34000,1175000
Hyundaiasta,11,0,1200,0,0,8,38000,1750000
Hyundaii20,11,0,1200,0,0,7,42000,1575000
Hyundaigetz,12,0,1400,0,0,9,46000,1375000
Hyundaiasta,12,0,1200,0,0,7,27000,1700000
Hyundaisantro,12,0,1100,0,0,7,40000,1225000
Hyundaiasta,12,0,1200,0,0,7,32000,1525000
Hyundaisantro,18,0,1100,0,0,4,26000,775000
Hyundaisantro,13,0,1100,0,0,6,40000,1100000
Hyundaisantro,16,0,1100,0,0,5,50000,950000
Hyundaiasta,12,0,1200,0,0,7,32000,1775000
Hyundaitucson,12,0,2000,1,1,8,45000,3349000
Hyundaigetz,12,0,1400,0,0,7,30000,1275000
Hyundaisantro,15,0,1100,0,0,5,50000,1000000
Hyundaii10,8,0,1200,0,0,10,21000,1775000
Hyundaitucson,15,0,2000,1,1,5,56000,2600000
Hyundaii10,10,0,1100,0,0,9,26000,1575000
Hyundaiasta,11,0,1200,0,0,7,25500,1795000
Hyundaii10,9,0,1200,0,0,10,28000,1775000
Hyundaieon,9,0,800,0,0,9,29000,1090000
Hyundaii10,12,0,1200,0,0,7,43000,1540000
